Company,Net Sales,Cons PAT,CFO,CFO/PAT,PBIDTM (%),PATM (%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Dividend Pay Out Ratio(%),Free Float,5 YR Sales CAGR,5 YR PAT CAGR,Ev/EBITDA,M/Sales
Colgate-Palmolive (India) Ltd.,3868.19,581.17,688.73,1.19,22.49,13.36,64.94,92.74,1.42,0,46.8,40.89,0.03,0.08,28.41,6.62
CreditAccess Grameen Ltd.,456.95,83.78,-938.73,-11.21,74.49,18.33,19.91,15.47,0.2,4.84,0,0,0.55,0.77,0,0
CRISIL Ltd.,1379.94,285.15,270.39,0.95,32.09,20.66,33.47,47.61,1.09,0,57.44,18.02,0.07,0.05,32.82,10.54
CSB Bank Ltd.,1482.89,-149.72,-165.51,1.11,-0.25,-10.1,-20.08,-21.91,0,0.06,0,0,0,-1.75,0,0
Cummins India Ltd.,4720.16,721.32,695.54,0.96,17.46,12.32,18.76,24.14,0.92,0,53.8,38.93,0.07,0.02,26.18,5.46
Dabur India Ltd.,7779.66,"1,251.15","1,186.99",0.95,22.06,15.94,33.97,34.54,1.08,0.19,31.63,26.22,0.04,0.1,30.64,6.04
DCB Bank Ltd.,1698.46,194.52,219.62,1.13,20.55,11.45,11.88,11.61,0,0.66,0,57.95,0.2,0.12,14.22,2.01
De Nora India Ltd.,50.84,11.98,13.76,1.15,37.18,23.11,27.24,41.19,0.98,0,17.73,38.55,-0.02,-0.2,9.65,3.48
Denso India Ltd.,940.5,-26.4,23,-0.87,3.77,-2.53,-89.04,-2.68,2.3,10.29,0,0,0,0.33,0,0
DIC India Ltd.,749.54,29.71,42.12,1.42,7.49,3.56,10.92,15.53,1.74,0.01,12.36,28.25,0.02,-1.9,14.97,0.71
Disa India Ltd.,142.73,10.6,14.5,1.37,12.4,6.78,9.8,15.28,0.92,0,3.56,12.57,0.08,0.08,26.18,4.02
Dixon Technologies (India) Ltd.,1388.26,27.38,41.06,1.5,4.16,1.94,25.78,25.65,3.85,0.66,14.17,0,0.22,0.36,0,0
D-Link (India) Ltd.,721.33,24.38,19.06,0.78,5.48,3.38,16.73,25.8,2.44,0,10.2,25.93,0.08,0.14,17.11,0.94
Elantas Beck India Ltd.,344.16,41.76,46.38,1.11,17.56,10.8,27.17,40.29,1.81,0,9.49,20.48,0.03,0.09,15.96,2.89
Endurance Technologies Ltd.,5230.37,299.36,698.28,2.33,12.68,5.35,23.19,22.34,1.86,0.57,4.33,0,0.12,0.19,0,0
Enkei Wheels (India) Ltd.,385.49,-5.47,12.83,-2.35,9.16,-1.25,-53.02,2.45,1.67,33.77,0,21,-0.07,0.04,7.28,0.54
Eros International Media Ltd.,1582.68,238.67,"1,170.46",4.9,23.12,15.29,15.13,17.46,0.47,0.21,0,24.14,-0.02,0.07,9.33,2.11
Esab India Ltd.,450.95,28.34,18.19,0.64,11.01,5.73,9.37,13.71,1.32,0,5.43,15.51,0.09,0.12,19.49,2.13
Essar Shipping Ltd.,1719.63,-550.16,345.49,-0.63,27.76,-31.99,-10.88,0.13,0.14,1.6,0,25.63,-0.07,0.73,11,0.25
Ester Industries Ltd.,770.82,4.56,81.47,17.86,8.95,0.54,1.66,7.37,1.2,0.98,0,18.85,0.02,0.3,9.26,0.43
Expleo Solutions Ltd.,264.16,36.9,57.7,1.56,22.91,13.97,35.06,51.22,1.53,0,69.2,40.5,0.08,0.04,17.16,3.58
Federal-Mogul Goetze (India) Ltd.,1330.89,47.6,191.76,4.03,13.35,3.74,11.21,17.32,1.35,0.36,0,9.16,0.03,0.21,14.96,1.79
Finolex Industries Ltd.,2843.12,257.77,569,2.21,13.83,7.72,15.55,23.14,1.34,0.13,48.14,37.88,0.05,0.16,10.66,1.59
Foseco India Ltd.,292.14,31.73,17.26,0.54,16.16,9.72,30.69,44.59,2.09,0.03,53.34,13.54,0.1,0.12,15.77,2.93
GE Power India Ltd.,1710.55,-58.04,62.02,-1.07,0.49,-3.3,-6.45,-7.02,0.45,0,-115.83,17.26,-0.06,-0.2,14.23,2.13
Gillette India Ltd.,1842.52,214.18,279.42,1.3,19.55,11.5,25.54,39.78,1.43,0,60.13,15.42,0.02,0.38,55.24,7.94
Glaxosmithkline Consumer Healthcare Ltd.,4136.27,687.28,573.46,0.83,24.44,15.06,27.99,42.98,0.74,0,42.83,27.54,0,0.08,22.83,6.17
Glaxosmithkline Pharmaceuticals Ltd.,2837.91,376.14,138.9,0.37,21.19,13.25,18.75,28.82,0.59,0,112.6,16.74,-0.01,-0.28,36.98,10.72
GMM Pfaudler Ltd.,292.08,20.12,24.66,1.23,12.48,6.5,12.68,19.22,1.26,0,21.8,20.92,0.13,0.22,8.89,1.27
Gokaldas Exports Ltd.,1142.92,61.34,82.51,1.35,6.08,5.36,32.74,18.09,1.65,1.59,0,36.68,0.01,-2.31,6.21,0.19
Goodricke Group Ltd.,733.24,-12.14,68.32,-5.63,3.61,-1.65,-4.99,2.21,1.21,0,-71.17,25.99,0.05,-0.22,9.41,0.55
Goodyear India Ltd.,1730.33,119.76,9.33,0.08,12.59,6.44,21.67,33.92,1.59,0,23.12,19.06,0.04,0.02,4.87,0.87
GP Petroleums Ltd.,422.5,13.59,17.18,1.26,6.31,2.89,10.3,12.58,1.8,0.86,18.75,27.76,0.08,0.73,11.99,0.7
Grindwell Norton Ltd.,1150.57,105.23,139.2,1.32,16.61,8.57,15.52,23.32,1.22,0.02,34.2,25.04,0.07,0.12,19.41,3.5
Gulf Oil Lubricants India Ltd.,1011.35,100.31,117.83,1.17,15.14,8.58,46.36,40.45,1.65,0.79,34.59,18.82,#DIV/0!,-8.92,16.09,2.43
Heidelberg Cement India Ltd.,1648.35,35.39,256.94,7.26,13.24,1.85,4.03,7.52,0.71,1.16,0,22.11,0.12,-2.37,11.12,1.01
Hella India Lighting Ltd.,125.1,2.53,13.5,5.34,6.43,1.78,11.52,8.17,1.88,0.38,0,0,0.21,-1.99,11.84,1.12
Hexaware Technologies Ltd.,3123.52,393.21,393.2,1,17.74,12.59,29.12,37.13,1.67,0,66.34,25.42,0.17,0.15,14.4,2.67
Hinduja Foundries Ltd. - (Amalgamated),845.18,-394.25,-122.09,0.31,-4.6,-41.43,0,-48.63,1.05,-296.38,0,6.07,0.17,-5.09,0,0.43
Hindustan Unilever Ltd.,32303,"4,151.00","4,171.00",1,18.53,11.98,79.13,111.89,2.41,0.03,83.26,31.24,0.04,0.09,30.2,5.73
Hindustan Zinc Ltd.,14181,"8,175.00","6,451.00",0.79,60.89,52.87,20.25,21.4,0.31,0,143.68,35.08,0.09,0.03,6.04,4.38
Honda Siel Power Products Ltd.,672.81,48.83,101.07,2.07,14.13,6.91,14.12,21.97,1.1,0,12.46,27.62,0.09,0.24,13.74,1.95
Honeywell Automation India Ltd.,2187.62,141.19,166.37,1.18,11.02,6.36,14.83,24.09,1.13,0,6.26,10.22,0.13,0.33,34.23,3.66
Huhtamaki PPL Ltd.,2037.38,76.93,316.25,4.11,11.34,3.58,13.34,18.1,1.74,0.86,26.46,23.48,0.16,0.2,9.98,1.09
Indian Hume Pipe Company Ltd.,938.94,29.1,45.74,1.57,10.48,3.05,9.81,14.81,0.87,1.04,26.64,26.7,0.15,0.29,9.86,0.87
Indostar Capital Finance Ltd.,644,191.64,-542.7,-2.83,90.53,29.76,13.56,13.87,0.15,1.95,0,0,0.25,0.17,0,0
INEOS Styrolution India Ltd.,1583.9,63.83,28.48,0.45,5.56,3.6,12.39,10.93,1.75,0.32,11.02,15.88,0.13,-1.76,15.08,0.59
Infinite Computer Solutions (India) Ltd.,2108.3,121.03,198.11,1.64,9.9,5.74,14.21,17.57,1.32,0.08,0,15.8,0.12,0.02,3.47,0.43
Ingersoll-Rand (India) Ltd.,653.84,60.83,66.77,1.1,13.2,8.71,6.19,8.39,0.52,0,31.14,19.05,0.05,0.04,22.36,3.99
ITC Ltd.,39192.1,"9,344.45","9,799.04",1.05,29.07,17.24,25.95,39.96,1.13,0,73.2,36.71,0.06,0.07,16.26,6.68
ITD Cementation India Ltd.,3070.95,-59.31,465.06,-7.84,6.96,-1.93,-11.02,4.35,1.34,1.18,0,19,0.15,0.55,13.15,0.55
Jagatjit Industries Ltd.,688.03,-65.76,18.63,-0.28,-1.19,-5.71,-54.53,-6.63,1.47,3.31,0,11.47,-0.25,0.08,0,0.27
Jagran Prakashan Ltd.,2079.24,350.82,424.52,1.21,30.8,14.75,22.19,25.89,0.78,0.36,0,12.03,0.07,0.04,8.82,2.48
Jash Engineering Ltd.,120.19,7.28,6.07,0.83,16.75,5.67,10.02,15.22,0.81,0.59,26.32,0,0.17,0.02,0,0
Jayant Agro-Organics Ltd.,1375.45,24.28,11.82,0.49,5.61,1.82,10.87,13.25,2.24,1.12,23.16,34.36,0.1,0.07,6.39,0.11
Jet Airways (India) Ltd.,22321.08,"1,211.65","2,511.63",2.07,13.15,5.38,0,39.56,1.3,-1.96,0,15.43,0.05,-0.01,43.85,0.23
Johnson Controls - Hitachi Air Conditioning India Ltd.,1640.54,49.98,61.55,1.23,6.92,2.78,14.9,16.27,1.58,0.45,8.16,20.53,0.15,0.61,26.75,2.26
Kansai Nerolac Paints Ltd.,3766.87,900.99,391.71,0.43,13.14,19.39,43.88,51.29,1.66,0.02,18.24,19.39,0.08,0.13,27.98,3.69
Kennametal India Ltd.,570.29,20.74,17.44,0.84,8.95,3.39,5.62,8.31,0.89,0,21.2,10.97,0.12,0.4,26.5,3.05
Kingfa Science & Technology (India) Ltd.,314.17,10.8,19.21,1.78,7.73,3.03,16.93,22.47,2.03,0.13,0,15,0.32,-2.18,30.12,1.24
Kokuyo Camlin Ltd.,614.19,5.24,12.36,2.36,4.65,0.82,2.43,5.97,1.51,0.45,0,25.01,0.08,-2.14,38.04,1.75
Lemon Tree Hotels Ltd.,367.86,-22.91,63.06,-2.75,30.15,-5.61,-2.52,4.12,0.19,0.77,0,0,0.2,-2.09,0,0
Linde India Ltd.,1566.63,23.46,242.38,10.33,15.36,1.38,1.69,3.16,0.45,1,27.27,11.5,0.09,-0.24,15.24,1.86
Mac Charles (India) Ltd.,59.13,34.69,-0.01,0,99.85,58.66,13.94,21.57,0.2,0,37.77,25.37,0.13,0.45,7.32,4.05
Mahanagar Gas Ltd.,2078.3,310.89,419.04,1.35,24.35,13.6,19.83,30.02,1.01,0,50.29,0,0.08,0.13,0,0
Mahindra CIE Automotive Ltd.,3865.32,76.72,679.63,8.86,9.8,1.92,3.95,4.63,0.81,0.54,0,20.76,0.07,-2.35,18.28,1.35
Maruti Suzuki India Ltd.,57589,"5,496.10","8,482.50",1.54,15.93,8.26,19.58,27.04,1.69,0.01,19.23,33.45,0.14,0.21,16.14,2.44
Monsanto India Ltd. - (Amalgamated),541.57,101.25,76.6,0.76,21.49,17.83,25.71,27.89,0.91,0,51.14,25.6,0.03,0.04,38.67,8.16
Morganite Crucible (India) Ltd.,109.86,9.99,19.29,1.93,23.28,9.03,15.1,26.85,1.18,0,11.21,24.55,0.04,0.12,6.38,1.31
Moschip Technologies Ltd.,5.36,-11.94,-0.1,0.01,-162.14,-222.59,0,-320.86,0.43,-1.06,0,80.48,0.58,0.24,0,4.27
Mphasis Ltd.,6080.78,631.51,730.81,1.16,17.93,10.39,11.17,14.78,0.85,0.08,66.57,27.05,0.09,0.12,7.81,1.54
MPS Ltd.,257.21,71.24,48.82,0.69,42.53,27.7,26.6,39.31,0.75,0,57.49,18.21,0.13,0.13,15.41,6.29
Multibase India Ltd.,70.31,9.88,7.08,0.72,20.19,12.62,21.42,32.97,1.33,0,0,23.97,0.15,0.25,21.17,4.6
Music Broadcast Ltd.,225.48,27.62,60.56,2.19,41.2,12.25,29.88,15.98,0.52,2.4,0,0,0.16,0.2,0,0
Nestle India Ltd.,8175.31,563.27,"1,098.10",1.95,19.96,6.64,19.92,28.7,1.42,0.01,83.02,30.51,0.05,0.11,29.44,6.42
Newgen Software Technologies Ltd.,346.81,28.73,11.13,0.39,12.29,8.28,14.23,14.49,0.95,0.26,19.07,0,0.13,0.05,0,0
NIIT Ltd.,1006.85,67.24,69.58,1.03,7.82,0.37,0.49,3.31,0.75,0.24,0,46.93,-0.01,-0.27,31.78,1.21
Nirlon Ltd.,288.86,43.57,205.3,4.71,77.68,15.08,16.74,14.89,0.12,2.4,15.51,25.6,0.08,0.15,11.66,6.87
Novartis India Ltd.,689.77,198.29,56.59,0.29,39.91,28.74,18.01,24.77,0.4,0,16.12,23.8,-0.11,-0.12,10.77,2.87
Oracle Financial Services Software Ltd.,4131.22,"1,048.89",712.31,0.68,44.11,25.39,26.28,43.06,0.5,0,80.74,25.7,0.06,0,15.23,8
Orient Green Power Company Ltd.,295.72,-336.51,215.36,-0.64,12.54,-115.02,-43.73,-4.03,0.09,2.78,0,22.35,-0.05,-0.25,14.13,2.11
Orient Refractories Ltd.,458.88,55.82,80.22,1.44,18.31,11.29,29.81,44.59,1.46,0,31.21,17.25,0.13,0.11,11.71,2.24
Page Industries Ltd.,1795.6,231.52,219.17,0.95,21.49,12.89,50.52,61.93,1.74,0.18,40.95,23.44,0.19,0.21,43.18,9.23
Panasonic Appliances India Company Ltd.,200.67,0.15,4.23,28.42,2.35,0.07,1.91,2.46,2.51,5.54,0,0,0.12,-2.15,57.71,1.89
Panasonic Carbon India Company Ltd.,49.02,13.46,8.45,0.63,41.66,26.27,19.22,29.84,0.49,0,35.65,31.49,0.05,0.12,10.24,5.42
Pfizer Ltd.,2012.34,304.98,345.48,1.13,24.83,14.57,14.75,22.78,0.77,0,22.5,26.91,0.13,0.14,20.02,5.36
Phoenix Lamps Ltd. - (Amalgamated),327.87,22.9,18.09,0.79,14.9,6.59,17.64,22.4,1.4,0.46,0,36.43,-0.05,-2.18,7.06,0.81
Polycab India Ltd.,5186.83,187.96,189.54,1.01,8.7,3.29,11.03,16.29,1.6,0.45,13.15,0,0.13,0.37,0,0
Procter & Gamble Health Ltd.,939.5,53.56,83.47,1.56,10.96,5.5,9.35,14.54,0.71,0,23.24,36.18,0.01,0.72,12.58,1.48
Procter & Gamble Hygiene & Health Care Ltd.,2275.39,422.5,352.46,0.83,29.52,17.99,29.37,44.56,1.15,0,27.66,27.76,0.08,0.07,33.49,8.72
Puravankara Ltd.,1584.04,82.85,14.03,0.17,24.41,5.3,3.7,8.71,0.28,0.95,22.34,11.35,0.09,-0.06,8.11,0.9
Quess Corp Ltd.,3435.01,81.18,-49.52,-0.61,4.67,2.36,27.18,23.95,3.39,1.11,0,0,0.53,0.69,0,0
R Systems International Ltd.,605.03,97.83,44.85,0.46,13.58,16.17,42.9,56.07,1.39,0.01,50.93,12.5,0.05,-0.06,8.4,1.39
Rhodia Specialty Chemicals India Ltd.,233.14,-22.16,2.87,-0.13,-2.21,-8.91,-60.57,-16.69,1.51,3,0,0,0.08,0.43,0,0
Ricoh India Ltd.,1067.08,"-1,117.73","-1,481.84",1.33,-24.23,-104.75,0,-85.49,0.62,-2.47,0,24.52,-0.1,-2.57,71.63,1.63
Saint-Gobain Sekurit India Ltd.,140.76,0,10.65,"8,874.17",15.19,0,0,0.56,1.49,0.01,0,25,0,0.15,17.55,2.66
Sanofi India Ltd.,2193.1,321.5,213.2,0.66,22.76,14.33,20.68,30.96,0.97,0,46.5,24.79,0.09,0.09,19.15,4.5
Saurashtra Cement Ltd.,529.7,43.8,72.42,1.65,12.81,7.4,17.88,27.84,1.36,0.07,17.92,25.19,0.03,-1.75,3.21,0.57
Schaeffler India Ltd.,1724.43,197.48,181.86,0.92,19.38,10.57,16.51,24.78,1.21,0,8.42,29.82,0.22,0.19,20.22,4.09
Seamec Ltd.,327.92,5.39,11.39,2.11,18.15,1.64,1,2.15,0.48,0.06,0,26.09,-0.05,-3.09,0.48,0.94
Shreyas Shipping & Logistics Ltd.,595.57,49.19,53.76,1.09,13.82,8.31,23.01,16.81,1.29,0.86,5.92,22.89,0.05,-2.51,9.85,1.86
Siemens Ltd.,10563.1,"1,174.40",574.4,0.49,10.62,10.77,24.74,36.1,0.8,0,30.31,18.69,0.05,0.13,49.8,4.22
Singer India Ltd.,239.4,5.98,3.85,0.64,4.1,2.5,15.88,24.12,2.5,0,44.88,17.45,0.15,0.06,101.7,2.85
SKF India Ltd.,2997.28,255.89,26.18,0.1,14.35,7.93,16.61,25.08,1.59,0.04,30.91,31.39,0.03,0.07,17.4,2.84
Sobha Ltd.,1943.2,138.07,388.4,2.81,24.39,6.9,5.41,9.04,0.28,0.85,14.21,15.42,0.1,0.05,9.04,1.44
Sterlite Technologies Ltd.,2143.99,153.71,214.67,1.4,20.67,7.02,17.59,7.96,0.41,1.48,25.71,38.57,0.15,-2.71,16.01,1.05
Stovec Industries Ltd.,162.2,21.88,22.93,1.05,21.93,12.42,33.43,51.03,1.24,0,27.67,27.46,0.2,0.26,13.76,2.95
Sumitomo Chemical India Ltd.,765.28,64.63,52.45,0.81,13.91,7.81,24.5,40.83,1.61,0,0,0,0.28,0.38,0,0
