Company Name,PL_Net Sales,PL_Operating Profit (Excl OI),PL_Consolidated PAT,OCF,OCF/PAT,ROE,ROCE,D/E,Asset Turnover,FR_PBIDTM (%),FR_PATM (%),FR_Dividend Pay Out Ratio(%),Free Float,Ev/EBITDA,M/Sales
Astrazeneca Pharma India Ltd.,396.69,89.04,57.62,32.57,0.57,44.21,54.79,0.00,1.57,23.37,14.23,43.39,10.00,18.49,5.39
Banco Products (India) Ltd.,461.18,105.84,78.60,49.29,0.63,25.41,24.97,0.31,0.92,23.03,16.18,18.20,22.37,5.97,1.33
BASF India Ltd.,1626.99,171.89,96.07,45.95,0.48,15.93,24.80,0.00,1.75,10.44,5.58,33.95,21.82,8.07,0.69
Bata India Ltd.,1092.39,122.25,62.58,100.27,1.60,22.75,33.75,0.10,1.70,12.01,5.62,30.81,24.76,10.28,1.09
Bayer CropScience Ltd.,1724.11,218.02,127.25,82.36,0.65,25.18,35.85,0.20,1.32,13.65,7.11,12.42,19.36,7.31,1.05
Bilcare Ltd.,1047.83,241.93,116.95,72.89,0.62,17.75,14.39,0.71,0.62,24.80,11.16,4.85,22.94,7.49,0.84
Black Rose Industries  Ltd.,51.48,3.86,3.26,4.77,1.46,42.09,35.05,1.05,1.70,10.70,6.34,0.00,16.98,5.56,0.22
Blue Dart Express Ltd.,907.54,104.33,61.19,38.18,0.62,14.39,22.20,0.00,1.52,12.35,6.72,3.88,6.44,10.09,1.40
Bosch Ltd.,4809.53,626.99,590.65,897.56,1.52,18.23,22.61,0.08,1.01,21.60,11.62,15.95,14.21,12.36,2.78
Cairn India Ltd. (Amalgamated),1623.03,634.34,1051.11,109.69,0.10,3.17,2.78,0.10,0.04,64.20,64.76,0.00,20.22,50.67,49.56
Capital First Ltd. - (Amalgamated),238.70,137.90,59.27,-926.31,-15.63,8.72,9.37,1.70,0.15,64.17,24.83,10.72,15.92,84.29,7.08
Castrol India Ltd.,2318.19,575.36,381.06,568.45,1.49,78.52,120.05,0.00,2.67,22.17,13.82,81.12,22.87,10.79,2.71
Clariant Chemicals (India) Ltd.,924.33,172.37,107.61,170.35,1.58,32.37,48.83,0.01,1.76,21.28,11.02,61.94,32.94,6.06,1.00
CMI FPE Ltd.,387.22,36.54,27.29,72.10,2.64,28.12,37.63,0.00,1.10,13.07,6.82,18.10,23.03,6.30,0.87
Colgate-Palmolive (India) Ltd.,1962.46,436.87,434.10,404.00,0.93,159.71,180.94,0.01,2.45,26.30,21.52,62.66,36.30,21.83,5.02
CreditAccess Grameen Ltd.,53.55,24.75,0.95,#N/A,#N/A,2.90,8.23,7.21,0.17,46.68,1.77,0.00,#N/A,0.00,0.00
CRISIL Ltd.,537.27,199.31,160.78,174.19,1.08,40.64,52.43,0.00,0.95,41.38,29.92,44.94,21.25,13.00,5.50
CSB Bank Ltd.,577.96,-62.75,1.65,-225.84,-136.54,0.47,4.22,0.27,0.00,1.33,0.29,0.00,#N/A,0.00,0.00
Cummins India Ltd.,2844.87,527.29,443.87,575.94,1.30,30.04,41.04,0.01,1.35,21.43,14.65,53.53,23.10,10.58,1.94
Dabur India Ltd.,3390.47,623.19,501.27,498.90,1.00,58.86,57.72,0.20,1.75,19.66,14.65,34.62,21.46,21.50,3.98
DCB Bank Ltd.,458.97,-180.26,-78.45,-453.86,5.79,-14.58,-3.57,0.93,0.00,10.52,-17.09,0.00,53.01,21.62,1.18
De Nora India Ltd.,13.22,-0.29,0.14,3.70,26.75,0.53,5.11,0.05,0.42,14.98,1.03,0.00,33.42,26.82,2.52
Denso India Ltd.,736.33,35.58,18.89,41.48,2.20,9.39,13.66,0.05,1.82,5.56,2.37,29.52,16.97,3.30,0.33
DIC India Ltd.,504.35,41.88,22.07,34.90,1.58,10.85,15.23,0.20,1.40,8.63,4.05,16.64,23.26,4.24,0.31
Disa India Ltd.,71.29,14.75,9.86,10.90,1.11,27.74,41.32,0.01,1.17,22.97,12.86,0.00,13.72,14.51,3.43
Dixon Technologies (India) Ltd.,642.50,16.06,15.10,#N/A,#N/A,21.32,19.07,0.97,2.99,4.37,2.35,6.16,#N/A,0.00,0.00
D-Link (India) Ltd.,132.79,6.27,7.19,13.12,1.83,11.09,15.52,0.00,1.56,8.21,5.41,41.75,29.16,11.49,0.67
Elantas Beck India Ltd.,195.19,42.88,31.62,40.43,1.28,25.76,37.58,0.00,1.42,23.65,15.01,11.28,11.45,6.77,1.57
Endurance Technologies Ltd.,2345.88,259.22,3.57,277.52,77.76,-0.53,8.57,3.57,1.25,13.03,-0.06,0.00,#N/A,0.00,0.00
Enkei Wheels (India) Ltd.,166.70,12.34,-9.40,0.00,0.00,-1304.27,-1.98,121.66,0.89,7.08,-5.20,0.00,#N/A,0.00,0.00
Eros International Media Ltd.,640.88,113.04,82.11,329.72,4.02,41.91,30.29,0.92,0.60,20.19,12.89,0.00,#N/A,0.00,0.00
Esab India Ltd.,420.63,100.78,66.18,72.04,1.09,43.51,66.88,0.00,2.11,24.19,14.63,46.52,30.37,6.11,1.61
Ester Industries Ltd.,395.37,60.71,27.85,45.98,1.65,18.23,23.11,0.32,1.56,14.68,6.61,22.58,13.85,2.25,0.31
Expleo Solutions Ltd.,82.86,9.55,8.23,15.24,1.85,14.18,15.89,0.00,1.13,12.68,9.94,12.21,34.04,15.99,3.38
Federal-Mogul Goetze (India) Ltd.,785.36,133.50,58.76,146.16,2.49,19.93,21.48,0.27,1.18,18.27,7.72,3.81,16.19,6.79,0.78
Finolex Industries Ltd.,1454.93,262.80,132.32,310.98,2.35,24.34,16.14,1.42,0.79,17.72,8.31,28.12,46.81,10.08,0.44
Foseco India Ltd.,125.34,19.46,12.51,21.29,1.70,22.08,28.28,0.19,1.42,16.95,9.35,45.96,13.52,8.72,1.62
GE Power India Ltd.,2041.38,250.19,167.48,355.71,2.12,37.71,56.01,0.00,0.70,13.98,8.05,40.02,22.07,12.33,1.48
Glaxosmithkline Consumer Healthcare Ltd.,1921.50,310.59,232.78,399.99,1.72,27.95,42.96,0.00,1.09,19.75,11.49,32.52,33.71,10.86,2.68
Glaxosmithkline Pharmaceuticals Ltd.,1907.77,583.10,507.86,511.51,1.01,29.77,45.16,0.00,0.46,39.88,25.66,50.78,33.68,15.22,7.04
GMM Pfaudler Ltd.,193.75,15.24,9.47,7.91,0.84,10.36,17.50,0.00,1.18,9.78,4.64,43.22,21.35,5.00,0.59
Gokaldas Exports Ltd.,1072.39,-21.70,-1.82,82.42,-45.22,-0.40,3.83,0.75,1.15,6.60,-0.17,0.00,5.09,10.09,0.40
Goodricke Group Ltd.,371.18,51.35,41.94,56.76,1.35,44.16,49.95,0.08,1.24,17.34,11.27,20.60,17.40,6.84,0.87
Goodyear India Ltd.,1015.10,122.75,73.09,146.41,2.00,39.64,62.54,0.00,2.51,11.97,6.84,22.09,23.50,3.26,0.42
GP Petroleums Ltd.,279.66,-9.57,-6.12,-10.36,1.69,-5.54,0.69,0.00,1.24,0.78,-1.93,-0.72,2.20,6.15,0.38
Grindwell Norton Ltd.,702.22,121.60,86.36,103.57,1.20,26.28,37.59,0.07,1.04,19.47,11.55,38.46,26.94,7.26,1.35
Gujarat Gas Company Ltd. - (Amalgamation),1419.67,279.51,174.17,178.16,1.02,23.77,28.97,0.20,0.83,21.24,12.14,59.28,21.11,9.48,1.93
Gulf Oil Lubricants India Ltd.,0.00,0.00,0.00,0.00,1.91,2.44,2.44,0.00,0.00,0.00,0.00,0.00,#N/A,0.00,0.00
Heidelberg Cement India Ltd.,936.39,159.50,134.04,214.64,1.60,22.19,27.23,0.00,1.06,19.70,12.89,0.00,19.67,2.87,0.98
Hella India Lighting Ltd.,36.32,-0.70,-1.70,1.01,-0.59,0.00,1.16,1.98,1.11,2.22,-4.31,0.00,16.90,0.28,1.65
Hexaware Technologies Ltd.,1038.56,127.61,134.18,151.08,1.13,17.79,19.01,0.02,0.96,16.78,12.92,14.99,18.88,3.78,0.90
Hinduja Foundries Ltd. - (Amalgamated),391.54,48.56,0.35,20.54,59.34,0.25,6.73,2.75,0.49,13.93,0.08,0.00,11.22,32.54,0.72
Hindustan Unilever Ltd.,17764.27,2524.74,2156.63,3479.57,1.61,87.76,103.92,0.00,2.12,15.82,11.40,67.62,38.62,23.54,4.04
Hindustan Zinc Ltd.,8016.97,4670.08,4041.41,4077.24,1.01,24.88,31.08,0.00,0.47,63.91,47.90,6.27,5.54,8.93,6.16
Honda Siel Power Products Ltd.,308.41,38.54,12.69,24.51,1.93,6.40,10.08,0.00,0.94,14.71,3.93,31.97,27.44,5.78,1.05
Honeywell Automation India Ltd.,1173.07,187.66,132.79,159.91,1.20,35.18,47.62,0.00,1.80,16.28,11.12,6.66,16.83,8.63,1.41
Huhtamaki PPL Ltd.,577.69,71.21,37.38,66.76,1.79,14.89,17.61,0.09,1.43,13.07,5.97,50.31,29.14,4.76,0.57
Indian Hume Pipe Company Ltd.,560.44,77.64,28.57,36.36,1.27,16.20,19.73,1.10,0.98,13.49,4.79,16.96,28.34,6.97,0.44
Indostar Capital Finance Ltd.,0.07,0.00,0.00,#N/A,#N/A,0.07,0.10,0.00,0.03,3.14,2.17,0.00,#N/A,0.00,0.00
INEOS Styrolution India Ltd.,559.13,86.26,48.99,39.59,0.81,19.48,30.30,0.00,1.16,14.96,8.08,12.56,16.67,3.94,0.48
Infinite Computer Solutions (India) Ltd.,664.30,114.73,79.17,50.43,0.64,35.04,40.22,0.15,1.28,17.56,12.64,0.00,18.18,13.59,1.80
Ingersoll-Rand (India) Ltd.,356.56,25.80,47.40,37.48,0.79,6.24,10.03,0.00,0.34,22.02,12.58,39.96,21.70,5.56,2.72
ITC Ltd.,19135.87,6342.38,4168.18,4457.26,1.07,29.69,44.22,0.01,1.26,25.27,15.24,91.60,32.36,15.38,5.29
ITD Cementation India Ltd.,1470.20,137.86,5.41,46.79,8.66,1.54,12.32,1.41,1.08,10.15,0.37,21.30,25.61,5.02,0.14
Jagatjit Industries Ltd.,677.39,19.39,6.46,35.64,5.52,3.67,8.27,0.90,1.30,5.11,0.70,0.00,7.76,8.88,0.42
Jagran Prakashan Ltd.,941.89,282.28,175.90,210.04,1.19,30.01,37.04,0.20,0.85,33.61,18.68,59.92,19.72,13.06,3.51
Jash Engineering Ltd.,63.65,11.94,6.40,#N/A,#N/A,33.77,27.61,1.02,1.24,18.35,9.48,7.22,#N/A,0.00,0.00
Jayant Agro-Organics Ltd.,904.01,40.40,12.47,-78.05,-6.26,13.95,14.40,2.50,2.83,4.57,1.38,18.05,15.94,5.59,0.11
Jet Airways (India) Ltd.,12027.98,1213.95,-420.18,1668.84,-3.97,-337.01,4.04,-168.81,0.55,11.84,-3.49,0.00,11.37,0.05,0.24
Johnson Controls - Hitachi Air Conditioning India Ltd.,640.90,58.48,46.14,37.08,0.80,36.74,32.36,0.41,1.75,10.25,6.73,7.46,28.67,6.05,0.49
Kansai Nerolac Paints Ltd.,1706.38,263.69,165.50,150.46,0.91,23.19,29.41,0.14,1.59,15.30,8.92,24.42,14.71,12.83,1.62
Kingfa Science & Technology (India) Ltd.,109.22,6.76,-0.02,5.32,-350.03,-0.06,7.55,1.45,1.52,6.00,-0.01,0.00,20.07,64.56,0.22
Kokuyo Camlin Ltd.,330.87,26.40,11.64,18.93,1.63,33.87,25.43,0.69,2.14,7.96,3.41,25.89,38.69,19.01,0.65
Lemon Tree Hotels Ltd.,72.36,21.92,26.86,44.31,1.65,6.92,9.62,0.51,0.12,94.04,37.13,0.00,#N/A,0.00,0.00
Linde India Ltd.,804.06,124.40,53.24,92.83,1.74,5.09,8.20,0.11,0.52,16.68,6.37,24.03,10.52,12.53,2.17
Mac Charles (India) Ltd.,42.04,8.61,25.10,37.06,1.48,21.52,27.19,0.02,0.28,86.52,59.71,28.71,22.19,10.87,4.60
Mahanagar Gas Ltd.,772.81,277.38,161.77,209.76,1.30,22.23,33.11,0.01,0.85,34.46,18.99,30.38,#N/A,0.00,0.00
Mahindra CIE Automotive Ltd.,1327.42,-8.79,-183.78,43.70,-0.24,-24.23,-11.27,0.84,0.70,-0.08,-13.59,0.00,17.50,9.45,0.27
Maruti Suzuki India Ltd.,29591.50,3503.40,2624.70,3168.10,1.21,23.40,31.64,0.07,2.10,14.00,7.84,6.61,24.84,14.88,1.84
Monsanto India Ltd. - (Amalgamated),410.23,56.37,53.82,64.20,1.19,16.14,17.62,0.00,0.79,16.75,12.83,28.06,17.35,22.29,3.63
Morganite Crucible (India) Ltd.,65.68,14.77,7.23,9.91,1.37,34.79,31.64,0.57,0.93,23.28,11.11,0.00,25.00,4.85,0.58
Moschip Technologies Ltd.,25.49,-6.39,-13.21,-3.63,0.27,-45.05,-26.20,0.71,0.50,-24.20,-51.84,0.00,61.68,0.00,1.59
MPS Ltd.,164.20,11.18,4.72,8.63,1.83,5.61,6.63,0.05,1.18,9.07,2.87,35.66,28.23,3.81,0.52
Multibase India Ltd.,33.39,3.94,2.69,6.44,2.39,14.94,18.67,0.05,1.31,12.03,7.57,0.00,23.02,13.52,1.08
Music Broadcast Ltd.,80.75,-3.97,-34.24,-1.03,0.03,0.00,-14.07,-5.05,0.39,-0.27,-42.41,0.00,#N/A,0.00,0.00
Nestle India Ltd.,5129.38,991.85,655.00,927.91,1.42,124.22,174.16,0.00,2.80,19.72,12.54,71.39,31.50,21.37,4.53
Newgen Software Technologies Ltd.,101.58,8.52,1.84,3.06,1.67,2.72,7.60,0.02,1.16,8.54,1.81,24.93,#N/A,0.00,0.00
NIIT Ltd.,1199.35,154.43,70.23,20.54,0.29,7.75,10.34,0.80,0.90,13.86,3.17,32.91,35.10,8.83,0.87
Nirlon Ltd.,54.22,18.44,-18.34,80.95,-4.41,-34.10,0.87,11.28,0.08,43.58,-32.56,0.00,45.34,44.03,12.74
Novartis India Ltd.,624.10,103.19,115.99,97.47,0.84,20.93,32.49,0.00,0.88,29.17,18.55,27.55,22.38,8.46,2.58
Oracle Financial Services Software Ltd.,2873.97,850.15,773.66,713.84,0.92,19.86,22.93,0.00,0.60,32.79,26.93,0.00,19.53,14.17,5.01
Orient Green Power Company Ltd.,55.07,-1.67,-12.77,-129.85,10.17,-4.75,-0.40,1.09,0.08,11.75,-24.88,0.00,#N/A,0.00,0.00
Page Industries Ltd.,346.74,65.23,39.61,29.76,0.75,42.63,44.34,0.55,1.61,20.66,11.42,59.13,10.55,12.09,2.55
Panasonic Appliances India Company Ltd.,135.10,6.23,1.93,2.17,1.12,10.57,18.30,0.35,2.94,4.41,1.34,44.31,21.43,9.57,0.42
Panasonic Carbon India Company Ltd.,29.04,6.43,6.69,4.77,0.71,12.44,18.97,0.00,0.44,34.94,21.50,50.21,25.97,1.21,2.01
Phoenix Lamps Ltd. - (Amalgamated),436.94,9.30,-19.98,28.30,-1.42,-15.14,-1.22,0.98,1.42,2.03,-4.20,0.00,23.66,10.84,0.56
Polycab India Ltd.,2513.92,126.20,113.96,0.00,0.00,15.85,7.54,1.24,1.31,5.02,4.53,0.00,#N/A,0.00,0.00
Procter & Gamble Health Ltd.,473.11,60.78,65.48,41.74,0.64,14.26,21.00,0.00,0.86,21.39,13.47,50.70,29.87,6.32,1.79
Puravankara Ltd.,478.36,169.28,145.32,55.53,0.38,9.12,7.16,0.59,0.18,36.33,27.18,14.69,4.47,23.81,5.05
R Systems International Ltd.,327.53,16.99,7.72,43.26,5.60,4.55,6.72,0.01,1.33,7.64,2.36,38.29,33.99,1.03,0.30
Ranbaxy Laboratories Ltd.- (Amalgamation),7594.56,712.44,296.49,-162.13,-0.55,7.53,13.08,0.87,0.64,17.71,4.08,0.00,15.56,4.04,2.02
Rhodia Specialty Chemicals India Ltd.,95.13,-10.04,-20.57,-24.01,1.17,-35.17,-28.34,0.64,1.00,-5.33,-19.85,0.00,16.22,2.56,0.38
Ricoh India Ltd.,256.53,28.69,17.24,35.39,2.05,16.16,26.86,0.00,1.31,12.32,6.72,0.00,25.14,2.65,0.38
Saint-Gobain Sekurit India Ltd.,84.11,12.46,5.04,18.86,3.74,9.48,9.23,0.19,1.12,14.33,5.53,0.00,14.23,19.41,2.41
Sanofi India Ltd.,974.41,147.75,157.41,137.15,0.87,18.17,27.88,0.00,0.89,26.00,15.81,29.26,17.08,9.56,3.24
Saurashtra Cement Ltd.,574.34,87.44,19.97,133.72,6.70,123.66,26.73,6.63,1.31,17.55,3.22,0.00,15.13,5.50,0.29
Schaeffler India Ltd.,797.69,90.51,65.54,163.36,2.49,15.20,23.26,0.00,1.46,14.24,7.75,11.41,17.30,4.89,1.02
Seamec Ltd.,424.84,223.74,203.91,217.80,1.07,48.81,49.87,0.00,0.86,56.46,48.00,4.99,20.11,2.49,1.60
Shreyas Shipping & Logistics Ltd.,153.99,-0.22,-15.71,7.83,-0.50,-11.23,-4.35,0.61,0.58,1.28,-10.20,0.00,26.71,5.47,0.25
SKF India Ltd.,1570.93,146.56,94.25,227.49,2.41,13.86,21.15,0.00,1.64,10.38,5.66,22.38,25.48,7.60,0.97
Sobha Ltd.,1129.87,246.33,134.10,332.12,2.48,9.91,7.03,0.87,0.30,22.08,12.20,18.28,17.25,13.63,2.14
Solvay Pharma India Ltd. (Amalgamated),241.73,60.20,40.03,69.67,1.74,33.45,50.69,0.00,1.53,25.78,16.13,41.00,22.67,10.89,2.89
Sterlite Industries (India) Ltd.(Merged),24500.60,6095.79,3743.74,4181.68,1.12,17.28,17.59,0.25,0.48,31.05,21.04,8.42,26.94,9.17,2.72
Sterlite Technologies Ltd.,2431.63,380.72,245.84,347.13,1.41,32.77,29.71,0.41,1.28,16.18,9.85,7.23,27.25,8.92,0.76
Stovec Industries Ltd.,46.42,5.74,6.55,6.62,1.01,22.64,34.15,0.00,1.03,23.49,13.31,33.47,29.00,2.45,1.05
Sumitomo Chemical India Ltd.,230.67,-34.42,-45.22,#N/A,#N/A,-58.77,-35.97,0.47,1.07,-14.02,-19.60,0.00,#N/A,0.00,0.00
Take Solutions Ltd.,351.77,34.46,32.43,18.26,0.56,9.89,11.24,0.09,0.68,13.96,10.32,7.40,17.09,7.24,1.27
Thomas Cook (India) Ltd.,266.29,60.48,25.01,81.04,3.24,11.95,12.96,0.56,0.39,27.66,9.39,31.81,9.07,15.78,4.51
Thyrocare Technologies Ltd.,58.34,27.79,23.14,32.26,1.39,46.64,66.88,0.00,0.78,59.30,39.66,88.77,#N/A,0.00,0.00
Timex Group India Ltd.,135.59,3.83,4.62,11.53,2.49,25.03,9.90,0.00,1.11,6.16,3.36,0.00,25.07,27.87,1.43
Timken India Ltd.,316.06,41.17,32.53,58.38,1.79,10.39,14.47,0.00,0.65,16.43,9.60,0.00,16.82,10.00,1.92
United Spirits Ltd.,6362.31,717.00,-22.71,1591.41,-70.08,-0.77,8.01,1.57,0.96,7.38,-0.21,-138.28,45.76,37.79,2.21
Vardhman Acrylics Ltd.,270.48,64.56,43.44,44.00,1.01,26.02,33.98,0.01,1.27,23.94,15.15,0.00,40.51,0.00,0.00
Vedanta Ltd.,6650.05,3093.54,2629.13,2571.32,0.98,41.78,47.96,0.25,0.65,53.40,39.42,10.27,27.92,9.24,4.92
Vesuvius India Ltd.,361.49,62.29,37.38,72.67,1.94,18.78,28.53,0.00,0.99,18.10,9.74,20.36,21.66,5.24,0.96
VST Industries Ltd.,471.47,82.47,62.01,52.50,0.85,25.59,35.30,0.00,2.16,10.30,5.51,74.71,19.01,7.27,1.76
Wabco India Ltd.,591.26,117.46,78.19,53.23,0.68,33.42,45.31,0.03,1.81,21.17,12.19,6.06,16.07,11.43,1.87
Whirlpool Of India Ltd.,2214.88,230.97,145.02,188.08,1.30,88.70,58.07,0.00,2.65,9.52,5.41,0.00,22.65,6.41,0.67
Wintac Ltd.,20.79,3.73,1.14,2.30,2.02,7.16,8.89,0.73,0.53,20.02,5.25,0.00,30.81,12.04,0.60
Xchanging Solutions Ltd.,1192.85,40.06,-372.19,-30.30,0.08,0.00,-115.38,-1.82,1.53,4.29,-31.20,0.00,6.05,128.12,0.70
Zim Laboratories Ltd.,98.13,13.17,6.50,#N/A,#N/A,31.18,29.30,1.37,1.29,15.28,6.49,0.00,#N/A,0.00,0.00
