Company Name,Net Sales,Cons PAT,Cons OCF,OCF/PAT,PBIDTM (%),PATM (%),FR_Dividend Pay Out Ratio(%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Free Float,Ev/EBITDA,M/Sales
Bilcare Ltd.,3546.75,39.59,227.37,5.74,11.05,1.61,0,4.38,7.96,0.87,1.59,25.01,3.3,0.11
Black Rose Industries  Ltd.,122,1.66,6.72,4.06,4.69,1.36,0,12.81,13.16,2.15,1.62,19.16,12.61,0.24
Blue Dart Express Ltd.,2171.71,193.28,182.51,0.94,14.22,8.78,87.17,28.82,41.42,1.89,0,11.64,23.15,3.15
Bosch Ltd.,8659.1,958.3,871.2,0.91,18.33,10.22,19.66,18.6,24.94,1.16,0.04,17.24,14.72,3.3
Cairn India Ltd. (Amalgamated),17524.15,12056.39,11055.63,0.92,81.07,68.8,18.22,25.13,25.42,0.33,0,21.62,4.63,4.37
Capital First Ltd. - (Amalgamated),800.29,66.38,-1223.5,-18.43,68.45,8.72,17.35,8.08,9.12,0.12,6.83,1.91,8.59,1.35
Castrol India Ltd.,3120.86,447.39,467.16,1.04,18.59,11.97,116.07,71.39,106.66,2.72,0,20.98,19.79,4.64
Clariant Chemicals (India) Ltd.,1096.28,101.3,76.58,0.76,13.33,8.65,72.38,20.53,29.13,1.45,0,31.11,9.18,1.69
CMI FPE Ltd.,532.9,-0.99,-49.61,49.93,1.04,-0.18,0,-0.66,0.65,1.17,0.45,19.77,20.31,0.84
Colgate-Palmolive (India) Ltd.,3163.81,496.75,614.9,1.24,21.26,14.94,76.65,107.41,143.35,1.82,0,35.45,24.98,6.09
CreditAccess Grameen Ltd.,86.7,8.46,-104.35,-12.34,57.29,9.76,0,10.36,23.52,0.2,1.31,29.45,0,0
CRISIL Ltd.,977.72,220.4,223.26,1.01,35.59,22.54,50.99,46.55,66.26,1.18,0,17.61,19.87,7.66
CSB Bank Ltd.,1320.86,32.67,60.41,1.85,7.72,2.47,19.22,5.64,6.99,0,0.32,100,0,0
Cummins India Ltd.,4589.38,764.11,528.61,0.69,21.26,15.59,47.16,34.5,47.67,1.45,0,29.03,20.17,3.7
Dabur India Ltd.,6169.1,763.42,869.54,1.14,17.62,12.31,34.25,42.75,32.85,1.28,0.62,22.45,22.06,3.76
DCB Bank Ltd.,916.1,102.06,55.27,0.54,13.77,11.14,0,11.67,8.82,0,1.61,42.32,23.21,1.36
De Nora India Ltd.,64.25,13.31,17.36,1.3,29.65,19.62,27.93,44.57,65.33,1.46,0,37.79,6.15,1.67
Denso India Ltd.,1218.6,12.8,-28.2,-2.2,-1.3,0.94,0,8.92,8.51,2.15,1.42,19.95,0,0.12
DIC India Ltd.,715.99,21.5,3.05,0.14,5.9,2.7,17.08,7.83,12.18,1.81,0.12,23.26,4.67,0.31
Disa India Ltd.,152.46,18.84,18.32,0.97,18.34,11.26,2,35.99,52.27,1.29,0,13.44,10.48,2.8
Dixon Technologies (India) Ltd.,724.87,3.22,43.11,13.38,2.38,0.44,9.63,4.43,7.67,2.82,1.17,95.97,0,0
D-Link (India) Ltd.,353.7,12.33,-2.31,-0.19,5.67,3.48,12.17,14.86,22.18,2.55,0,36.66,5.05,0.3
Elantas Beck India Ltd.,274.46,27.58,25.6,0.93,13.67,9,264.48,17.6,23.69,1.28,0,13.36,26.86,4.12
Endurance Technologies Ltd.,3810.24,170.42,345.29,2.03,6.15,4.47,2.07,25.52,14.3,1.63,1.3,0,0,0
Enkei Wheels (India) Ltd.,286.96,4.35,26.07,5.99,5.89,1.35,0,0,8.69,0.97,-19.46,18.16,9.08,0.22
Eros International Media Ltd.,1067.95,154.53,647.92,4.19,22.84,14.59,8.92,17.17,17.77,0.61,0.41,17.15,7.43,1.6
Esab India Ltd.,503.52,37.77,46.12,1.22,12.06,6.83,30.56,16.88,24.53,1.78,0,17.5,9.82,1.35
Essar Shipping Ltd.,3209.19,35.8,1205.14,33.66,26.96,1.12,0,0.59,3.85,0.25,0.79,8.71,6.46,0.18
Ester Industries Ltd.,886.02,-5.28,22.69,-4.3,4.93,-0.55,0,-2.07,3.51,1.5,1.15,27.9,8.17,0.15
Expleo Solutions Ltd.,161.44,19.44,18.41,0.95,20.2,12.04,31.24,23.75,31.43,1.41,0.16,46.18,1.24,0.55
Federal-Mogul Goetze (India) Ltd.,1199.13,-6.72,79.29,-11.8,8.53,0.15,-95.4,0.46,7.3,1.47,0.42,9.87,9.61,1.03
Finolex Industries Ltd.,2144.82,136.14,274.39,2.02,16.11,5.59,50.13,19.68,14.8,1.19,1.16,38.01,6,0.39
Foseco India Ltd.,246.75,21.82,20.03,0.92,13.69,7.96,40.99,26.04,35.2,2.01,0.11,13.52,8.93,1.56
GE Power India Ltd.,2785.84,183.59,31.9,0.17,11.84,6.4,36.62,24.76,38.34,0.9,0,20.83,7.68,1.05
Gillette India Ltd.,1437.72,87.16,29.4,0.34,11.62,5.97,56.09,13.74,21.8,1.14,0,10.2,52.45,5.97
Glaxosmithkline Consumer Healthcare Ltd.,3187.49,436.76,554.33,1.27,20.41,12.97,43.33,34.87,51.98,1.23,0,22.53,18.43,4.52
Glaxosmithkline Pharmaceuticals Ltd.,2692.06,561.88,313.59,0.56,36.22,20.34,75.37,28.5,42.24,0.93,0,30.11,16.19,6.99
GMM Pfaudler Ltd.,212.89,9.69,24.47,2.53,9.39,4.25,42.25,8.29,12.11,1.2,0,22.89,5.54,0.54
Gokaldas Exports Ltd.,981,-109.44,-66.15,0.6,-3.65,-10.96,0,-62.34,-15.22,1.59,2.56,6.38,0,0.22
Goodricke Group Ltd.,539.53,20,16.57,0.83,8.28,3.7,43.2,11.38,15.64,1.31,0.23,21.58,7.11,0.62
Goodyear India Ltd.,1481.29,56.32,25.66,0.46,6.98,3.49,28.67,16.95,26.62,1.75,0,18.17,4.31,0.5
GP Petroleums Ltd.,417.37,-1.26,-14.92,11.81,3.85,-0.27,-3.48,-1.03,13.13,1.46,0,10.75,2.8,0.25
Grindwell Norton Ltd.,946.99,97.31,104.27,1.07,15.91,9.49,36.98,20.03,27.4,1.34,0.04,25.2,7.95,1.58
Gujarat Gas Company Ltd. - (Amalgamation),3096.05,286.62,306.94,1.07,15.09,9.16,31.35,33.05,46.32,1.32,0,14.37,9.18,1.38
Gulf Oil Lubricants India Ltd.,0,0,0,2.48,0,0,0,3.37,3.37,0,0,100,0,0
Heidelberg Cement India Ltd.,869.81,30.84,50.09,1.62,7.63,2.96,0,3.78,3.25,0.45,1.24,23,20.99,0.97
Hella India Lighting Ltd.,68.04,-3.55,3,-0.84,-3.13,-4.6,0,-22.37,-12.89,1.63,0,18.15,0,0.71
Hexaware Technologies Ltd.,1948.18,327.65,219.9,0.67,22.46,16.82,48.87,29.53,36.49,1.3,0,38.26,6.92,1.85
Hinduja Foundries Ltd. - (Amalgamated),306.72,-103.78,-69.26,0.67,-10.87,-30.21,0,0,-8.5,0.31,5.04,9.24,3.59,0.23
Hindustan Unilever Ltd.,27003.99,3828.98,3604.76,0.94,16.63,13.48,104.48,118.67,155.02,2.47,0.01,41.1,27.43,4.46
Hindustan Zinc Ltd.,12699.84,6899.48,4785.01,0.69,62.32,50.52,18.98,23.33,26.53,0.42,0,5.54,6.21,4.69
Honda Siel Power Products Ltd.,515.55,20.6,-30.39,-1.48,8.13,3.69,19.69,7.57,11.65,1.11,0,27.11,6.75,1.05
Honeywell Automation India Ltd.,1660.73,85.17,-17.32,-0.2,7.89,5.03,10.38,12.76,17.92,1.24,0,17.92,16.14,1.36
Huhtamaki PPL Ltd.,900.59,45.08,62.53,1.39,10.26,4.69,36.16,12.81,15.6,1.59,0.15,28.13,4.7,0.47
Indian Hume Pipe Company Ltd.,684.31,22.85,4.17,0.18,9.52,3.29,23.33,9.99,15.02,0.91,0.74,25.36,7.61,0.46
Indostar Capital Finance Ltd.,241.38,90.09,-520.37,-5.78,85.48,37.32,0,9.2,13,0.15,1.08,12.39,0,0
INEOS Styrolution India Ltd.,989.33,63.13,-23.77,-0.38,9.96,5.7,11.14,15.49,19.08,1.52,0.15,12.67,14,1.31
Infinite Computer Solutions (India) Ltd.,1390.61,130.74,106.72,0.82,15.09,9.4,29.3,23.66,26.63,1.27,0.14,17.34,1.97,0.42
Ingersoll-Rand (India) Ltd.,585.58,77.94,50.28,0.65,18.64,12.37,24.3,9.26,13.33,0.43,0,21.15,7.64,2.47
ITC Ltd.,29901.27,7418.39,6709.89,0.9,27.52,17.62,55.92,35.67,51.64,1.31,0,37.59,20.9,8
ITD Cementation India Ltd.,1539.27,21.98,15.05,0.68,13.07,1.43,10.48,5.62,13.59,0.88,1.96,26.49,4.55,0.15
Jagatjit Industries Ltd.,993.4,4.95,-24.44,-4.94,2.39,0.36,0,2.11,6.92,1.74,0.86,7.59,4.59,0.25
Jagran Prakashan Ltd.,1521.8,255.08,201.85,0.79,27.03,16.74,24.8,30.24,20.16,0.69,0.52,22.63,10.51,2.25
Jash Engineering Ltd.,81.96,1.49,-6.45,-4.33,13.3,1.69,51.4,2.54,8.57,0.69,0.63,62.93,0,0
Jayant Agro-Organics Ltd.,1624.95,36.22,30.14,0.83,6.08,2.23,9.32,22.65,19.46,2.91,1.77,29.92,4.37,0.11
Jet Airways (India) Ltd.,19409.87,-779.8,1880.18,-2.41,6.43,-4.02,0,0,4.05,1,-4.63,17.27,48.69,0.22
Johnson Controls - Hitachi Air Conditioning India Ltd.,929.99,15.3,67.74,4.43,4.71,1.5,22.5,8.67,8.29,1.43,0.91,25.67,11.34,0.36
Kansai Nerolac Paints Ltd.,2867.04,293.14,220.03,0.75,10.45,8.67,20.22,30.12,39.72,2.14,0.07,13.87,30.04,3.81
Kennametal India Ltd.,489.77,14.85,32.79,2.21,8.78,2.82,0,4.81,6.34,1.03,0,12.81,17.27,3.45
Kingfa Science & Technology (India) Ltd.,156.58,-5.05,8.83,-1.75,1.52,-2.86,0,-22.55,-0.22,2.04,1.73,28.98,8.87,0.06
Kokuyo Camlin Ltd.,438.37,-15.11,-3.79,0.25,-1.09,-3.3,0,-12.31,-7.42,1.75,0.57,30.16,19.92,0.7
Lemon Tree Hotels Ltd.,214.81,-20.45,153.4,-7.5,22.66,-9.11,0,-2.3,1.88,0.13,0.54,100,0,0
Linde India Ltd.,1324.44,89.48,96.25,1.08,14.64,6.34,14.3,6.9,7.33,0.44,0.82,10.52,18.27,2.66
Mac Charles (India) Ltd.,46.91,16.08,13.17,0.82,62.41,34.28,48.88,7.13,9.93,0.18,0.01,22.23,8.64,2.94
Mahanagar Gas Ltd.,1514.38,298.51,438.89,1.47,31.17,18.08,52.38,26.54,39.07,0.99,0.01,50.25,0,0
Mahindra CIE Automotive Ltd.,2216.4,-113.94,101.83,-0.89,2.06,-5.02,0,-14.12,-4.44,1.18,0.91,9.81,5.09,0.2
Maruti Suzuki India Ltd.,44304.4,2469.2,4058.9,1.64,10.34,4.91,9.78,14.11,17.34,1.97,0.08,31.02,11.13,1.07
Monsanto India Ltd. - (Amalgamated),442.42,67.34,89.39,1.33,18.81,14.63,56.39,17.01,19.11,0.82,0,17.54,14.5,2.85
Morganite Crucible (India) Ltd.,100.03,9.62,14.52,1.51,21.59,10.22,2.91,23.48,37.52,1.12,0,20,4.12,1.01
Moschip Technologies Ltd.,9.79,-14.39,-1.43,0.1,-68.61,-146.9,0,-233.05,-111.46,0.67,4.03,70.15,0,2.95
Mphasis Ltd.,5490.68,792.32,965.77,1.22,22.16,14.43,45.08,19.13,23.38,0.97,0.07,14.37,6.75,1.51
MPS Ltd.,164,31.89,31.56,0.99,29.21,19.45,52.75,41.7,49.8,1.5,0.06,25,12.88,0.91
Multibase India Ltd.,45.15,4.49,-0.38,-0.08,14.32,9.02,0,16.81,24.83,1.43,0,21.63,8.2,1.13
Music Broadcast Ltd.,138.06,11.62,34.26,2.95,26.3,8.42,0,0,11.68,0.79,-10.84,7.18,0,0
Nestle India Ltd.,8334.53,1067.93,1693.38,1.59,21.63,12.4,43.79,69.52,62.01,1.8,0.58,29.03,26.39,5.58
Newgen Software Technologies Ltd.,188.77,31.92,24.76,0.78,23.98,16.91,14.08,32.93,40.2,1.37,0,100,0,0
NIIT Ltd.,960.8,26.26,47.16,1.8,5.58,-2.57,100.6,-3.71,-6.31,0.74,0.23,37.27,3.74,0.45
Nirlon Ltd.,159.66,12.03,139.92,11.63,74.66,7.54,0,11.19,11.94,0.07,6.07,32.56,9.55,2.6
Novartis India Ltd.,903.36,119.73,7.43,0.06,19.11,13.21,26.69,13.94,19.74,0.48,0,21.21,10.17,2.57
Oracle Financial Services Software Ltd.,3474,1075.14,1134.35,1.06,48.33,30.95,0,15.67,23.51,0.39,0,16.84,12.91,7.54
Orient Green Power Company Ltd.,435.45,-69.89,-45.62,0.65,48.56,-18.76,0,-7.21,4.03,0.12,1.8,18.65,12.8,1.78
Orient Refractories Ltd.,360.58,41.39,37.54,0.91,17.57,10.64,29.03,46.65,63.29,2.21,0.05,34.5,7.33,1.29
Page Industries Ltd.,876.31,112.53,87.14,0.77,20.34,12.11,49.56,59.34,63.96,2.2,0.47,17.1,22.27,4.74
Panasonic Appliances India Company Ltd.,147.55,-11.41,-0.24,0.02,-2.61,-6.83,0,-158.92,-18.87,2.05,4.02,16.3,0,0.47
Panasonic Carbon India Company Ltd.,35.16,6.54,2.6,0.4,27.35,17.53,51.41,11.35,17.02,0.46,0,22.44,1.97,2.51
Pfizer Ltd.,1048.84,503.2,-16.01,-0.03,26.41,45.91,19.27,33.56,46.38,0.61,0,29.25,9.36,3.52
Phoenix Lamps Ltd. - (Amalgamated),482.81,-24.07,33.73,-1.4,2.79,-4.85,0,-22.82,-0.72,1.28,1.55,24.29,5.97,0.3
Polycab India Ltd.,3719.47,76.89,503.51,6.55,7.59,2.07,9.18,6.55,12.23,1.38,0.42,85,0,0
Procter & Gamble Health Ltd.,687.28,78.4,54.26,0.69,17.7,11.04,5.29,17.54,26.14,0.74,0,27.58,8.93,1.66
Procter & Gamble Hygiene & Health Care Ltd.,1686.78,203.22,104.2,0.51,18.69,11.96,39.93,27.05,38.1,1.25,0,21.97,29.25,5.77
Puravankara Ltd.,1245.89,243.44,39.91,0.16,47.19,18.32,30.69,12.73,17.29,0.33,0.94,4.07,6.45,1.81
Quess Corp Ltd.,1001.15,11.24,-16.12,-1.43,4.56,1.62,0,40.59,31.15,3.51,1.38,100,0,0
R Systems International Ltd.,465.01,18.36,34.52,1.88,8.52,3.95,160.24,9.34,14.97,1.46,0,15.91,3.55,0.5
Ranbaxy Laboratories Ltd.- (Amalgamation),12459.73,922.76,1582.1,1.71,16.78,7.62,0,27.53,18.96,0.78,1.21,27.09,9.63,1.68
Rhodia Specialty Chemicals India Ltd.,284.42,36.86,-6.97,-0.19,5.59,11.98,1.83,64.79,44.84,1.81,0.37,15.29,18.96,0.52
Ricoh India Ltd.,633.12,-1.32,-96.67,73.23,3.55,-0.21,0,-1.07,4.67,1.13,2.08,24.84,5.02,0.44
Saint-Gobain Sekurit India Ltd.,108.56,0.65,11.69,18.07,9.22,0.53,0,0.89,3.19,1.21,0.08,14.23,23.43,3.47
Sanofi India Ltd.,1573.04,176.66,289.78,1.64,21.89,10.95,43.02,15.38,22.9,1.03,0,10.41,14.89,3.68
Saurashtra Cement Ltd.,540.33,183.72,126.65,0.69,20.42,30.64,0,395.73,121.11,1.4,1.22,15.07,5.06,0.25
Schaeffler India Ltd.,1446.65,159.18,137.06,0.86,17.01,10.2,5.22,19.83,29.31,1.46,0,18.75,8.52,1.87
Seamec Ltd.,337.33,40.4,56.2,1.39,29.69,11.98,0,8.91,11.62,0.67,0,18.93,8.34,1.51
Shreyas Shipping & Logistics Ltd.,388.89,16.38,14.87,0.91,11.25,3.96,8.54,10.56,10.73,1.26,0.9,26.71,4.09,0.23
Siemens Ltd.,12919.9,343.2,43.3,0.13,6.7,2.58,59.53,8.83,14.67,1.31,0,19.69,14.99,1.92
Singer India Ltd.,,,-0.73,#N/A,5.19,7.78,10.52,72.2,45.42,3.91,0,19.53,42.54,1.12
SKF India Ltd.,196.92,15.32,199.04,12.99,13.63,7.93,20.81,17.55,26.14,1.54,0,25.91,8.73,1.42
Sobha Ltd.,1864.54,217.18,254.15,1.17,29.58,11.6,31.61,10.5,14.64,0.41,0.65,25.18,8.77,2.18
Sterlite Industries (India) Ltd.(Merged),45162.29,6060.32,6824.37,1.13,29.23,19.4,12.76,19.1,17.89,0.52,0.38,13.53,3.23,0.83
Sterlite Technologies Ltd.,3092.34,25.19,282.97,11.23,7.49,0.77,46.86,2.13,4.84,0.73,2.44,27.83,9.56,0.47
Stovec Industries Ltd.,73.09,7.4,10.25,1.39,15.54,9.31,30.19,18,26.28,1.32,0,27.68,5.07,0.98
Sumitomo Chemical India Ltd.,494.58,12.78,-16.02,-1.25,4.18,2.58,0,8.14,8.83,1.36,0.01,6.2,0,0
Take Solutions Ltd.,831.97,79.47,116.63,1.47,20.2,10.71,15.1,23.38,21.14,1.05,0.47,20.85,3.04,0.5
TCNS Clothing Co Ltd.,128.38,4.76,5.18,1.09,11.94,3.57,0,6.62,12.63,1.02,0.41,93.13,0,0
Thomas Cook (India) Ltd.,430.19,50.44,114.51,2.27,28.42,11.72,15.85,12.2,17.38,0.46,0.43,12.9,10.16,3.14
Thyrocare Technologies Ltd.,134.26,56.82,45.92,0.81,60.54,42.32,0,43.28,49.89,0.81,0.16,29.55,0,0
Timex Group India Ltd.,121.44,-41.96,7.29,-0.17,-31.25,-33.92,0,-405.41,-67.13,0.78,0.34,25.07,70.83,1.23
Timken India Ltd.,688.52,44.24,13.14,0.3,10.68,5.99,28.81,13.52,19.43,1.33,0,19.98,15.49,1.88
United Spirits Ltd.,10498.62,-101.21,1968.84,-19.45,5.76,-0.48,-32.31,-2.33,8.32,1.34,1.79,44.14,17.69,1.78
Vardhman Acrylics Ltd.,436.49,24.4,23.73,0.97,10.58,5.15,0,9.57,14.86,1.28,0.02,31.76,0,0
Vedanta Ltd.,2748.94,2280.25,22.21,0.01,18.22,-4.6,0.38,-0.8,1.46,0.13,0.28,31.4,7.23,2.23
Vesuvius India Ltd.,563.79,55.76,50.16,0.9,16.24,9.09,16.38,17.39,25.97,0.99,0,20.77,6.98,1.3
Voith Paper Fabrics India Ltd.,57.74,13.02,9.1,0.7,33.28,20.34,10.12,11.68,16.71,0.51,0,24.79,3.26,2.18
VST Industries Ltd.,668.68,126.25,118.35,0.94,12.7,7.76,76.45,43.03,62.73,2.27,0,25.97,11.92,3.94
Wabco India Ltd.,965.92,130.79,90.21,0.69,19.41,12.28,7.25,22.21,31.41,1.45,0,20.29,12.49,2.95
Whirlpool Of India Ltd.,2772.73,127.75,143.97,1.13,7.07,3.72,0,23.65,33.72,2.67,0,18.61,11.51,1.12
Wintac Ltd.,20.88,-17.2,-3.01,0.17,-11.89,-75.82,0,-55.5,-33.55,0.42,0.09,17.86,0,2.25
Wyeth Ltd.- (Amalgamated),678.34,130.06,92.32,0.71,28.08,18.54,29.7,24.8,36.88,0.99,0,28.03,8.03,3.33
Xchanging Solutions Ltd.,208.83,12.25,14.25,1.16,15.05,5.87,0,5.03,8.56,0.62,0.01,6.71,4.46,0.45
Zim Laboratories Ltd.,185,9.52,15.49,1.63,14.51,5.03,8.4,12.26,17.47,1.01,0.56,55.91,0,0
