Company Name,Net Sales,Cons PAT,Cons OCF,OCF/PAT,PBIDTM (%),PATM (%),FR_Dividend Pay Out Ratio(%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Free Float,Ev/EBITDA,M/Sales
SKF India Ltd.,2414.00,203.00,218.00,1.07,14.04,7.91,26.00,15.07,22.75,1.42,0.00,26.36,0.00,0.00
Sobha Ltd.,2441.00,238.00,-216.00,-0.91,25.78,9.95,28.84,10.33,13.68,0.42,0.85,27.60,8.10,1.69
Sterlite Technologies Ltd.,3097.00,-3.00,393.00,-148.73,15.61,-0.11,-895.52,-0.33,5.33,0.43,3.57,27.88,17.42,0.36
Stovec Industries Ltd.,102.00,12.00,1.00,0.11,18.07,10.50,27.89,21.37,31.93,1.02,0.00,27.67,0.00,0.00
Sumitomo Chemical India Ltd.,706.00,35.00,4.00,0.11,8.55,4.58,0.00,16.27,27.42,1.71,0.00,6.20,4.01,0.00
Take Solutions Ltd.,730.00,70.00,74.00,1.06,16.21,10.94,17.17,16.08,13.91,0.82,0.40,17.81,3.41,0.48
TCNS Clothing Co Ltd.,301.00,26.00,14.00,0.53,17.30,8.73,0.00,27.46,34.23,1.57,0.36,93.13,1.69,0.00
Thomas Cook (India) Ltd.,3244.00,90.00,131.00,1.46,8.74,3.46,15.13,11.21,18.78,1.40,0.28,10.88,0.00,0.00
Thyrocare Technologies Ltd.,183.00,45.00,34.00,0.76,44.15,24.07,42.00,15.98,24.57,0.56,0.00,29.55,0.32,0.00
Timex Group India Ltd.,142.00,-11.00,-8.00,0.74,-5.42,-7.59,0.00,0.00,-59.53,1.14,-1.96,25.07,-5.28,0.83
Timken India Ltd.,929.00,81.00,42.00,0.53,14.44,8.34,25.28,19.66,29.74,1.22,0.01,19.03,14.93,1.73
United Spirits Ltd.,9335.00,-1688.00,-196.00,0.12,0.51,-7.53,0.00,-91.41,-11.16,1.99,7.56,32.55,83.86,3.62
Vardhman Acrylics Ltd.,498.00,33.00,55.00,1.66,9.19,6.18,27.83,10.74,14.38,1.11,0.00,31.76,2.02,0.32
Vedanta Ltd.,73710.00,-15646.00,17805.00,-1.14,32.46,-14.71,-7.77,-17.98,-3.00,0.38,1.45,26.20,5.94,0.84
Vesuvius India Ltd.,652.00,59.00,65.00,1.09,15.39,8.31,24.02,14.15,21.62,0.95,0.00,23.11,0.00,0.00
Voith Paper Fabrics India Ltd.,102.00,21.00,16.00,0.75,34.34,18.76,9.25,15.49,23.81,0.71,0.00,24.79,0.00,0.00
VST Industries Ltd.,836.00,152.00,118.00,0.77,15.13,8.83,71.02,45.53,68.42,2.21,0.00,24.51,9.97,3.23
Wabco India Ltd.,1348.00,121.00,124.00,1.03,15.32,8.26,7.86,14.91,21.87,1.41,0.00,21.35,19.05,3.46
Whirlpool Of India Ltd.,3294.00,211.00,300.00,1.42,8.85,5.05,0.00,25.83,36.96,2.44,0.00,17.93,11.03,1.03
Wintac Ltd.,29.00,-6.00,6.00,-0.98,-5.81,-20.13,0.00,-19.04,-22.79,0.65,0.01,10.70,0.00,2.98
Xchanging Solutions Ltd.,287.00,25.00,1.00,0.02,8.50,8.75,0.00,8.62,11.00,0.69,0.01,6.71,0.00,0.00
Zim Laboratories Ltd.,266.00,-22.00,6.00,-0.26,8.68,-7.85,0.00,-22.94,-8.70,1.03,0.99,55.91,2.91,0.00
