Company Name,Net Sales,Cons OCF,Cons PAT,OCF/PAT,PBIDTM (%),PATM (%),FR_Dividend Pay Out Ratio(%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Free Float,5 YR Sales CAGR,5 YR PAT CAGR,Ev/EBITDA,M/Sales
Asian Oilfield Services Ltd.,274,-7.57,-27.01,-0.28,0.74,-19.18,0.00,-52.86,-16.01,0.87,1.88,14.21,0.48,0.98,80.50,0.79
Astrazeneca Pharma India Ltd.,141,-45.70,-20.84,-2.19,-1.06,-3.97,0.00,-12.93,-12.93,1.27,0.00,9.48,0.05,-1.82,0.00,5.15
Banco Products (India) Ltd.,517,84.84,87.65,0.97,13.18,7.45,24.48,14.52,17.13,1.33,0.06,23.87,0.20,0.02,6.02,0.80
BASF India Ltd.,1129,-96.33,-66.90,-1.44,2.80,-1.31,-25.88,-6.22,1.23,1.07,1.55,20.69,0.24,-1.93,26.97,1.01
Bata India Ltd.,4706,118.76,231.34,0.51,14.41,8.45,18.06,25.61,38.39,1.91,0.00,39.78,0.20,0.30,21.18,3.87
Bayer CropScience Ltd.,2694,200.40,383.00,0.52,15.46,9.81,20.07,20.29,30.63,1.04,0.00,22.57,0.17,0.25,14.92,2.60
Bilcare Ltd.,3723,-315.14,-216.05,-1.46,8.59,-6.68,0.00,-14.86,1.16,0.62,2.11,29.45,0.21,-2.13,8.80,0.05
Black Rose Industries  Ltd.,2692,0.61,0.53,1.15,3.74,0.27,0.00,2.78,7.74,2.14,2.19,15.39,0.31,-0.30,36.61,0.57
Blue Dart Express Ltd.,196,153.46,129.33,1.19,10.95,5.60,36.70,26.77,32.01,1.74,1.08,13.52,0.20,0.16,57.92,6.38
Bosch Ltd.,2272,1396.30,1337.70,1.04,19.74,10.37,19.95,19.61,28.28,1.15,0.02,20.67,0.20,0.18,27.41,5.67
Cairn India Ltd. (Amalgamated),12086,9520.18,4479.60,2.13,70.54,30.59,37.67,7.73,8.82,0.22,0.00,21.24,0.55,0.34,3.73,3.03
Capital First Ltd. - (Amalgamated),14646,-1519.96,114.28,-13.30,70.01,8.02,17.51,8.82,10.15,0.14,5.70,14.58,0.43,0.14,10.88,2.07
Castrol India Ltd.,1424,547.60,474.56,1.15,18.74,11.63,78.16,76.04,116.76,2.73,0.00,23.37,0.08,0.04,26.00,6.03
Clariant Chemicals (India) Ltd.,3392,-59.68,943.32,-0.06,3.41,84.20,11.02,95.75,120.07,0.81,0.01,32.56,0.03,0.54,28.23,2.06
Colgate-Palmolive (India) Ltd.,1046,638.15,558.98,1.14,20.18,13.19,58.39,81.59,113.91,1.63,0.00,37.78,0.15,0.05,29.88,6.17
CRISIL Ltd.,3982,264.65,268.43,0.99,32.89,21.42,53.17,35.25,49.39,1.06,0.00,15.88,0.18,0.11,30.48,10.59
Cummins India Ltd.,268,589.49,772.02,0.76,19.32,14.31,50.27,33.12,40.67,1.22,0.00,32.73,0.12,0.12,31.51,5.78
Dabur India Ltd.,1253,1047.21,1065.83,0.98,18.65,13.51,32.96,36.36,34.29,1.26,0.29,24.25,0.18,0.16,28.98,5.25
DCB Bank Ltd.,1545,-495.73,191.18,-2.59,19.51,13.44,0.00,14.53,11.81,0.00,0.76,53.17,0.25,-2.20,14.52,1.94
De Nora India Ltd.,4916,9.71,4.25,2.28,23.60,13.59,18.73,11.31,16.45,0.67,0.00,40.10,0.18,0.98,12.06,2.49
DIC India Ltd.,7827,2.36,-30.89,-0.08,0.10,-3.83,0.00,-11.19,-10.79,1.58,0.14,22.19,0.07,-2.07,177.22,0.54
Disa India Ltd.,1422,-9.97,17.88,-0.56,16.53,9.04,2.11,20.02,32.24,1.03,0.00,12.71,0.21,0.13,18.58,3.77
D-Link (India) Ltd.,31,1.90,21.86,0.09,5.52,3.41,11.37,16.19,24.46,2.46,0.02,8.31,0.37,0.25,16.55,0.91
Elantas Beck India Ltd.,1004,30.62,31.61,0.97,13.24,8.26,11.29,25.91,37.07,1.94,0.00,19.90,0.12,0.00,13.96,2.11
Enkei Wheels (India) Ltd.,722,26.15,2.28,11.46,8.85,0.53,0.00,14.73,8.29,1.44,4.78,18.81,0.18,-1.75,8.45,0.40
Eros International Media Ltd.,184,933.34,247.06,3.78,26.02,17.38,0.00,18.46,20.08,0.52,0.33,15.86,0.17,0.25,8.59,2.12
Esab India Ltd.,1201,16.42,23.64,0.69,10.35,3.92,6.51,8.50,11.18,1.68,0.00,15.40,0.06,-0.19,17.14,2.21
Essar Shipping Ltd.,641,558.56,-458.95,-1.22,24.58,-24.02,0.00,-6.59,0.37,0.14,0.75,12.26,#N/A,#N/A,11.68,0.23
Ester Industries Ltd.,341,67.69,3.84,17.63,7.53,0.39,0.00,1.48,7.28,1.39,1.25,27.82,0.18,-0.33,5.27,0.13
Expleo Solutions Ltd.,4917,33.43,21.65,1.54,18.15,10.11,116.91,20.63,29.09,1.38,0.09,38.44,0.21,0.21,11.92,2.65
Federal-Mogul Goetze (India) Ltd.,384,126.46,39.51,3.20,12.00,2.95,0.00,11.18,17.57,1.70,0.41,7.95,0.15,-0.08,12.77,1.51
Finolex Industries Ltd.,1421,212.20,47.78,4.44,8.18,1.69,51.95,6.06,10.33,1.49,0.81,39.17,0.11,-0.18,10.77,1.38
Foseco India Ltd.,552,25.29,24.59,1.03,14.64,8.43,54.54,26.32,37.93,1.97,0.06,13.54,0.16,0.14,15.73,2.36
GE Power India Ltd.,1911,189.20,176.88,1.07,13.70,8.05,38.01,18.62,29.12,0.59,0.00,20.76,0.01,0.01,12.02,1.44
Gillette India Ltd.,896,171.93,158.13,1.09,14.59,7.97,30.91,22.82,36.16,1.76,0.00,16.60,#N/A,#N/A,69.63,5.28
Glaxosmithkline Consumer Healthcare Ltd.,214,611.47,583.60,1.05,21.01,12.88,39.63,29.73,45.33,0.86,0.00,23.89,0.18,0.20,22.98,5.63
Glaxosmithkline Pharmaceuticals Ltd.,1580,337.64,476.41,0.71,24.02,13.73,111.12,24.95,39.53,1.12,0.00,18.23,0.12,-0.01,30.56,9.05
GMM Pfaudler Ltd.,2476,30.14,18.87,1.60,11.97,5.86,23.24,13.04,19.84,1.37,0.00,21.51,0.10,0.15,8.05,1.18
Gokaldas Exports Ltd.,263,67.94,34.69,1.96,6.60,3.18,0.00,24.56,18.23,1.70,1.96,16.17,0.00,-2.80,7.94,0.21
Goodricke Group Ltd.,2124,21.97,22.24,0.99,7.53,3.69,43.71,10.70,14.95,1.10,0.04,24.84,0.10,-0.12,6.07,0.59
Goodyear India Ltd.,1974,99.38,101.24,0.98,10.83,5.91,22.79,22.13,34.31,1.59,0.00,17.43,0.09,0.07,5.16,0.81
GP Petroleums Ltd.,4308,-17.70,5.03,-3.52,3.71,1.08,10.14,4.03,9.79,1.73,0.32,27.76,0.08,-1.96,6.20,0.33
Grindwell Norton Ltd.,3363,105.51,103.22,1.02,16.26,8.54,34.86,17.86,26.16,1.38,0.02,26.57,0.10,0.04,15.63,2.69
Gulf Oil Lubricants India Ltd.,308,131.41,77.41,1.70,12.42,6.94,35.22,82.72,66.47,3.53,1.15,22.42,0.00,8.31,0.11,2.61
Heidelberg Cement India Ltd.,1090,237.55,59.53,3.99,14.17,2.51,0.00,7.09,11.94,0.85,1.51,20.47,0.00,-0.15,14.07,1.09
Hella India Lighting Ltd.,602,4.21,6.65,0.63,9.46,5.11,0.00,38.29,17.77,1.64,0.56,16.73,0.26,-2.31,13.42,0.80
Hexaware Technologies Ltd.,1583,412.92,320.15,1.29,18.22,12.40,88.82,25.72,33.73,1.46,0.00,25.59,0.20,0.19,11.24,2.32
Hinduja Foundries Ltd. - (Amalgamated),407,-51.08,-262.44,-0.19,-6.32,-23.35,0.00,0.00,-24.05,1.09,-172.52,7.66,0.21,-4.77,0.00,0.45
Hindustan Unilever Ltd.,1135,3291.91,4363.08,0.75,17.64,12.91,74.38,117.02,165.63,2.44,0.01,32.77,0.12,0.15,29.61,5.47
Hindustan Zinc Ltd.,967,5530.70,8178.00,0.68,63.77,50.79,22.73,20.25,23.76,0.36,0.00,5.54,0.13,0.15,7.05,4.96
Honda Siel Power Products Ltd.,2044,42.90,38.62,1.11,11.72,5.85,15.76,12.48,19.22,1.15,0.00,26.09,0.15,0.25,12.94,1.52
Honeywell Automation India Ltd.,116,13.02,114.20,0.11,9.61,4.68,9.68,13.74,21.37,1.45,0.00,13.66,0.15,-0.03,27.02,2.79
Huhtamaki PPL Ltd.,2582,93.83,66.60,1.41,9.84,5.22,30.57,14.38,17.58,1.70,0.07,23.02,0.16,0.12,9.72,1.00
Indian Hume Pipe Company Ltd.,999,-3.92,41.57,-0.09,11.67,4.07,17.48,15.36,20.15,1.03,1.06,26.12,0.12,0.08,9.38,0.71
Indostar Capital Finance Ltd.,31972,-587.62,149.04,-3.94,91.82,28.22,0.00,12.31,14.05,0.14,2.00,0.00,5.03,9.08,0.00,0.00
INEOS Styrolution India Ltd.,14788,59.50,18.93,3.14,3.98,0.83,37.17,3.89,9.07,1.75,0.35,17.24,0.30,-0.17,14.89,0.58
Infinite Computer Solutions (India) Ltd.,631,104.66,112.88,0.93,11.41,6.50,0.00,15.38,18.46,1.27,0.07,19.05,0.21,0.07,3.36,0.39
Ingersoll-Rand (India) Ltd.,2404,29.29,66.15,0.44,14.75,9.30,28.63,7.07,11.01,0.46,0.00,20.92,0.13,0.07,16.89,3.86
ITC Ltd.,1225,9843.20,9663.17,1.02,29.12,18.37,51.84,33.21,48.72,1.22,0.01,37.34,0.15,0.18,19.88,8.00
ITD Cementation India Ltd.,1010,43.64,19.41,2.25,6.37,1.13,0.00,3.98,12.93,0.86,1.35,22.55,0.03,0.29,9.65,0.37
Jagatjit Industries Ltd.,528,6.35,-43.08,-0.15,-0.90,-3.47,0.00,-24.33,-5.62,1.53,1.73,11.35,0.04,-2.46,96.20,0.23
Jagran Prakashan Ltd.,2040,438.53,307.97,1.42,27.04,17.41,36.06,29.40,28.16,0.71,0.57,18.06,0.13,0.12,9.93,2.39
Jayant Agro-Organics Ltd.,1737,175.91,11.99,14.67,4.08,0.66,12.51,4.79,9.82,2.37,1.17,27.21,0.12,-0.01,5.85,0.12
Jet Airways (India) Ltd.,656,737.66,-2097.41,-0.35,1.57,-9.75,0.00,0.00,-20.81,1.26,-1.79,17.84,0.12,0.38,0.19,0.18
Johnson Controls - Hitachi Air Conditioning India Ltd.,38835,54.66,77.76,0.70,8.50,4.55,5.24,28.13,26.74,1.86,0.45,22.06,0.20,0.11,17.66,1.30
Kansai Nerolac Paints Ltd.,1719,304.74,274.06,1.11,11.12,6.47,27.53,18.18,25.71,1.83,0.03,17.87,0.16,0.11,25.72,3.03
Kennametal India Ltd.,831,60.70,33.52,1.81,10.71,5.47,13.11,9.65,13.35,0.96,0.00,11.13,#N/A,#N/A,29.00,3.15
Kingfa Science & Technology (India) Ltd.,1770,-0.84,-3.04,-0.28,2.67,-1.23,0.00,-31.12,4.38,2.22,9.24,20.74,0.15,1.89,0.15,0.49
Kokuyo Camlin Ltd.,119,8.38,5.03,1.67,4.40,0.87,0.00,2.33,4.96,1.42,0.34,23.54,0.10,-0.15,65.15,1.20
Linde India Ltd.,1581,271.44,5.40,50.27,17.82,0.33,236.89,0.38,3.60,0.41,1.13,11.91,0.13,-0.37,17.63,2.26
Mac Charles (India) Ltd.,21561,18.91,25.93,0.73,75.29,48.98,40.42,11.11,15.64,0.19,0.00,22.22,0.05,0.01,8.07,2.77
Mahindra CIE Automotive Ltd.,1573,322.26,-78.07,-4.13,8.43,-1.36,0.00,-6.17,0.87,1.69,0.82,19.18,0.33,-0.16,29.44,1.12
Maruti Suzuki India Ltd.,3587,6449.20,3807.40,1.69,13.75,6.76,19.83,16.55,21.42,1.70,0.03,36.63,0.11,0.08,14.92,2.00
Monsanto India Ltd. - (Amalgamated),570,8.96,106.30,0.08,23.56,18.24,58.45,29.58,36.00,0.97,0.00,24.44,0.06,0.15,27.09,7.54
Morganite Crucible (India) Ltd.,219,2.88,5.76,0.50,17.55,5.01,4.86,9.33,18.20,1.21,0.00,23.64,0.11,-0.04,5.33,1.23
Moschip Technologies Ltd.,544,-0.21,-4.64,-0.05,-33.39,-77.40,0.00,0.00,-44.51,0.43,-1.34,69.33,-0.25,-0.19,0.00,2.19
Mphasis Ltd.,290,616.46,674.64,0.91,18.41,11.64,49.84,12.76,16.49,0.81,0.11,18.98,#N/A,#N/A,7.59,1.44
MPS Ltd.,1491,50.36,61.44,0.82,40.70,27.44,66.66,35.33,53.69,1.12,0.00,24.70,0.06,0.67,11.92,4.79
Multibase India Ltd.,53,7.38,7.22,1.02,17.15,10.58,0.00,19.21,29.25,1.34,0.00,23.99,0.13,0.22,18.22,3.28
Nestle India Ltd.,2095,1644.02,1184.69,1.39,20.90,11.64,51.27,45.51,55.76,1.68,0.01,31.32,0.14,0.13,27.80,5.99
NIIT Ltd.,5570,30.77,-138.53,-0.22,4.03,-17.46,0.00,-23.81,-17.67,0.78,0.21,44.20,-0.04,-2.15,12.71,0.80
Nirlon Ltd.,50801,204.93,32.58,6.29,77.58,13.63,20.75,14.14,13.44,0.10,2.92,53.10,0.35,-2.12,11.28,6.52
Novartis India Ltd.,556,-59.59,79.11,-0.75,11.87,9.05,40.40,8.06,9.52,0.43,0.00,23.80,0.07,-0.07,21.25,2.35
Oracle Financial Services Software Ltd.,110,1060.39,1192.32,0.89,48.63,30.53,471.92,19.51,29.96,0.35,0.00,15.31,0.06,0.09,9.99,7.15
Orient Green Power Company Ltd.,6,324.29,-232.96,-1.39,48.56,-48.60,0.00,-26.21,1.38,0.15,2.65,11.75,0.56,0.79,12.37,2.01
Orient Refractories Ltd.,5795,33.80,52.84,0.64,17.50,10.86,31.83,34.37,50.04,1.82,0.03,22.49,#N/A,#N/A,12.38,2.49
Page Industries Ltd.,224,167.00,196.02,0.85,21.28,12.70,40.97,58.02,62.42,1.54,0.41,23.09,0.35,0.38,34.80,7.56
Panasonic Appliances India Company Ltd.,62,4.33,0.41,10.46,3.30,0.20,0.00,5.36,7.51,2.76,5.21,#N/A,0.07,-0.27,35.42,1.08
Panasonic Carbon India Company Ltd.,201,3.70,9.14,0.41,34.13,21.21,42.01,14.28,21.96,0.45,0.00,26.75,0.07,0.06,3.15,2.65
Pfizer Ltd.,9855,113.47,69.82,1.63,23.41,3.62,81.90,5.31,15.87,1.10,0.00,31.83,#N/A,#N/A,14.48,4.27
Phoenix Lamps Ltd. - (Amalgamated),310,44.63,19.57,2.28,12.74,5.11,0.00,17.81,21.22,1.47,0.48,34.94,-0.03,-2.00,5.85,0.72
Procter & Gamble Health Ltd.,957,4.95,43.22,0.11,8.83,4.81,23.04,8.02,12.36,0.97,0.00,31.09,0.13,-0.08,12.95,1.58
Procter & Gamble Hygiene & Health Care Ltd.,239,425.57,346.14,1.23,23.69,14.67,28.37,31.02,45.40,1.37,0.00,21.55,#N/A,#N/A,33.56,8.02
Puravankara Ltd.,873,329.75,132.73,2.48,24.42,8.23,27.70,6.21,9.93,0.31,0.79,9.40,0.28,-0.02,8.02,1.46
R Systems International Ltd.,3905,72.46,78.13,0.93,15.38,12.05,95.43,35.12,50.76,1.60,0.00,12.40,0.15,0.59,6.50,1.21
Rhodia Specialty Chemicals India Ltd.,501,11.17,-20.50,-0.54,-2.82,-6.82,0.00,-35.39,-17.65,1.85,0.97,#N/A,0.23,0.00,37.97,1.47
Ricoh India Ltd.,451,-222.41,33.90,-6.56,9.81,2.07,11.73,21.99,20.37,1.52,4.16,24.44,0.45,0.14,16.34,0.89
Saint-Gobain Sekurit India Ltd.,1543,15.22,6.75,2.26,12.14,4.52,0.00,8.78,9.84,1.39,0.00,25.00,0.10,0.06,21.41,2.40
Sanofi India Ltd.,192,264.95,263.61,1.01,19.91,13.01,39.31,18.70,26.47,0.99,0.00,13.35,0.15,0.11,15.93,4.02
Saurashtra Cement Ltd.,41,78.20,67.61,1.16,15.35,10.74,0.00,35.02,34.89,1.51,0.05,18.07,0.00,0.28,4.57,0.40
Schaeffler India Ltd.,1853,117.38,152.88,0.77,16.22,8.75,8.15,14.61,22.35,1.26,0.00,20.44,0.15,0.18,17.53,3.20
Seamec Ltd.,366,90.79,122.01,0.74,49.79,34.81,2.78,23.01,24.05,0.56,0.02,23.67,-0.04,-0.10,5.30,0.94
Shreyas Shipping & Logistics Ltd.,4708,78.77,61.38,1.28,21.51,11.31,7.27,37.48,27.14,1.53,0.63,24.86,0.29,-2.31,5.77,0.62
Siemens Ltd.,867,607.80,603.20,1.01,6.58,5.50,35.41,14.73,21.37,0.95,0.00,20.94,#N/A,#N/A,34.61,2.98
Singer India Ltd.,2334,3.61,6.40,0.56,3.83,2.25,41.95,18.49,28.56,3.45,0.00,19.39,#N/A,#N/A,81.52,2.26
SKF India Ltd.,1672,217.71,202.77,1.07,14.04,7.91,26.00,15.07,22.75,1.42,0.00,33.46,0.09,0.17,16.10,2.62
Sobha Ltd.,2567,-216.41,238.01,-0.91,25.78,9.95,28.84,10.33,13.68,0.42,0.85,21.46,0.17,0.12,8.90,1.87
Sterlite Technologies Ltd.,648,392.66,-2.64,-148.73,15.61,-0.11,-895.52,-0.33,5.33,0.43,3.57,37.61,0.05,-1.40,22.16,0.91
Stovec Industries Ltd.,273,1.27,11.60,0.11,18.07,10.50,27.89,21.37,31.93,1.02,0.00,27.41,0.17,0.12,7.94,1.97
Take Solutions Ltd.,1638,74.13,69.88,1.06,16.21,10.94,17.17,16.08,13.91,0.82,0.40,25.07,0.16,0.17,5.67,0.95
Thomas Cook (India) Ltd.,133,131.43,90.15,1.46,8.74,3.46,15.13,11.21,18.78,1.40,0.28,10.20,0.65,0.29,17.90,1.87
Timex Group India Ltd.,1977,-8.12,-10.98,-0.74,-5.42,-7.59,0.00,0.00,-59.53,1.14,-1.96,25.07,0.01,-2.19,0.00,1.15
Timken India Ltd.,563,42.50,80.69,0.53,14.44,8.34,25.28,19.66,29.74,1.22,0.01,21.75,0.24,0.20,23.73,3.31
United Spirits Ltd.,1632,-196.31,-1687.72,-0.12,0.51,-7.53,0.00,-91.41,-11.16,1.99,7.56,31.88,0.08,1.37,89.49,3.83
Vardhman Acrylics Ltd.,350,55.35,33.42,1.66,9.19,6.18,27.83,10.74,14.38,1.11,0.00,25.19,0.13,-0.05,0.00,0.00
Vedanta Ltd.,546,17805.13,-15645.77,-1.14,32.46,-14.71,-7.77,-17.98,-3.00,0.38,1.45,19.97,0.62,-2.43,5.44,0.95
Vesuvius India Ltd.,10678,64.54,59.17,1.09,15.39,8.31,24.02,14.15,21.62,0.95,0.00,20.67,0.13,0.10,11.35,2.17
Voith Paper Fabrics India Ltd.,285,15.92,21.38,0.75,34.34,18.76,9.25,15.49,23.81,0.71,0.00,24.79,#N/A,#N/A,3.24,2.42
VST Industries Ltd.,2414,117.54,152.21,0.77,15.13,8.83,71.02,45.53,68.42,2.21,0.00,20.66,0.12,0.20,9.78,3.35
Wabco India Ltd.,2441,124.10,120.66,1.03,15.32,8.26,7.86,14.91,21.87,1.41,0.00,23.66,0.18,0.09,35.90,6.32
Whirlpool Of India Ltd.,3097,299.91,210.51,1.42,8.85,5.05,0.00,25.83,36.96,2.44,0.00,17.12,0.08,0.08,18.73,2.04
Wintac Ltd.,102,6.03,-6.15,-0.98,-5.81,-20.13,0.00,-19.04,-22.79,0.65,0.01,10.72,0.07,-2.40,35.42,5.19
Xchanging Solutions Ltd.,706,0.59,25.11,0.02,8.50,8.75,0.00,8.62,11.00,0.69,0.01,6.71,-0.25,-1.58,8.07,1.34
